목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
고기정원,127.0420937282463,36.47228211972313,공주시,사곡면,생활편의,음식점,전문음식점,1,0.7647058823529412
고들정육식당,127.252914326596,36.3586030848141,공주시,반포면,생활편의,음식점,한식,0,0.39285714285714285
고들정육식당,127.252914326596,36.3586030848141,공주시,반포면,생활편의,음식점,한식,1,0.23529411764705882
고려산업/공주공장,127.1618722296224,36.49097347271061,공주시,월송동,기업/단체,업종별기업,제조업,0,0.10714285714285714
고마나루1999,127.12272986830344,36.46495363265929,공주시,웅진동,생활편의,음식점,한식,0,2.0
고마나루1999,127.12272986830344,36.46495363265929,공주시,웅진동,생활편의,음식점,한식,1,4.411764705882353
고마스크린골프,127.093899795702,36.4589518315052,공주시,우성면,여행/레저,레저/스포츠,골프연습장,0,0.10714285714285714
고박사냉면초계막국수,127.152616584855,36.4819217753059,공주시,월송동,생활편의,음식점,한식,0,0.39285714285714285
고박사냉면초계막국수,127.152616584855,36.4819217753059,공주시,월송동,생활편의,음식점,한식,1,0.35294117647058826
고창애풍천장어,127.16064392729066,36.45075870993093,공주시,옥룡동,생활편의,음식점,전문음식점,0,0.75
고창애풍천장어,127.16064392729066,36.45075870993093,공주시,옥룡동,생활편의,음식점,전문음식점,1,1.647058823529412
고향국밥집,127.064069973004,36.361879393545,공주시,이인면,생활편의,음식점,한식,1,0.17647058823529413
고향손칼국수,127.15795949552091,36.4816340872832,공주시,월송동,생활편의,음식점,한식,0,2.142857142857143
고향손칼국수,127.15795949552091,36.4816340872832,공주시,월송동,생활편의,음식점,한식,1,3.5294117647058827
곡물집,127.119536485421,36.4495919367734,공주시,중학동,쇼핑,음식료,음식료기타,1,0.17647058823529413
곤드레쌈밥/[한식],127.11978506468652,36.60549080760822,공주시,정안면,생활편의,음식점,한식,0,0.14285714285714285
골드리버CC,127.163393207334,36.5036971318018,공주시,의당면,여행/레저,레저/스포츠,골프장,0,12.321428571428571
골드리버CC,127.163393207334,36.5036971318018,공주시,의당면,여행/레저,레저/스포츠,골프장,1,13.352941176470589
곰골식당,127.12054302648534,36.45184527360006,공주시,중학동,생활편의,음식점,한식,0,10.928571428571429
곰골식당,127.12054302648534,36.45184527360006,공주시,중학동,생활편의,음식점,한식,1,32.35294117647059
곰골식당/월송점,127.1544019,36.47241,공주시,월송동,생활편의,음식점,한식,0,0.10714285714285714
곰골식당/월송점,127.1544019,36.47241,공주시,월송동,생활편의,음식점,한식,1,0.47058823529411764
곰나루식당,127.123341617624,36.4590908755006,공주시,웅진동,생활편의,음식점,한식,0,0.10714285714285714
곰나루파크골프장,127.0997604,36.459921,공주시,웅진동,여행/레저,레저/스포츠,골프장,0,0.10714285714285714
곰나루파크골프장,127.0997604,36.459921,공주시,웅진동,여행/레저,레저/스포츠,골프장,1,0.4117647058823529
곰선생동태씨,127.1432595,36.4673465,공주시,신관동,생활편의,음식점,한식,0,0.42857142857142855
곰선생동태씨,127.1432595,36.4673465,공주시,신관동,생활편의,음식점,한식,1,1.0
곱깨비/신관점,127.13644862236322,36.47117620387547,공주시,신관동,생활편의,음식점,전문음식점,0,0.10714285714285714
공다방,127.123063811084,36.4650901895723,공주시,웅진동,생활편의,카페,카페기타,0,0.39285714285714285
공산성,127.12536916684,36.4644791615807,공주시,웅진동,여행/레저,관광명소,성,0,59.07142857142857
공산성,127.12536916684,36.4644791615807,공주시,웅진동,여행/레저,관광명소,성,1,283.6470588235294
공산성/임시주차장,127.125119228482,36.460062997186,공주시,웅진동,교통편의,자동차시설,주차장,1,0.17647058823529413
