목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
노브랜드버거/공주신관점,127.140256648866,36.473589320282,공주시,신관동,생활편의,음식점,패스트푸드,1,25
노브랜드버거/공주신관점,127.140256648866,36.473589320282,공주시,신관동,생활편의,음식점,패스트푸드,2,11
녹수원글램핑,126.96992709172116,36.62864571971072,공주시,유구읍,여행/레저,레저/스포츠,캠프장,1,23
녹주맥반석가마찜질방/공주점,127.15750610839808,36.36199103078055,공주시,계룡면,생활편의,생활서비스,찜질방,0,3
녹주맥반석가마찜질방/공주점,127.15750610839808,36.36199103078055,공주시,계룡면,생활편의,생활서비스,찜질방,1,3
농업회사법인제이팜스,127.145617972572,36.3962370599374,공주시,계룡면,쇼핑,음식료,음식료기타,0,3
눈썹달,127.123424997742,36.4530082364158,공주시,중학동,생활편의,음식점,한식,0,3
눈썹달,127.123424997742,36.4530082364158,공주시,중학동,생활편의,음식점,한식,2,3
뉴올,127.12447896119691,36.61976698154184,공주시,정안면,기업/단체,업종별기업,제조업,0,3
늘봄/[한식],127.247248153362,36.35971403615,공주시,반포면,생활편의,음식점,한식,0,4
늘봄정원,127.10036177601744,36.47208032335588,공주시,우성면,생활편의,카페,카페기타,0,15
늘봄정원,127.10036177601744,36.47208032335588,공주시,우성면,생활편의,카페,카페기타,2,10
늘푸른교회,127.122175071643,36.4572021952474,공주시,웅진동,생활편의,종교,교회시설,0,7
늘푸른솔,127.046680646589,36.5864092273934,공주시,사곡면,생활편의,음식점,한식,0,3
늘푸른요양원,127.119397451035,36.467312136996,공주시,웅진동,의료편의,기타의료시설,요양원,1,6
능소야,127.103232354368,36.4526192746133,공주시,웅진동,생활편의,음식점,한식,0,24
능소야,127.103232354368,36.4526192746133,공주시,웅진동,생활편의,음식점,한식,1,20
능소야,127.103232354368,36.4526192746133,공주시,웅진동,생활편의,음식점,한식,2,10
능애낚시터,127.082149988586,36.5547463844571,공주시,정안면,여행/레저,레저/스포츠,낚시,1,3
다담,127.242942976572,36.3601306301109,공주시,반포면,생활편의,음식점,한식,0,25
다담,127.242942976572,36.3601306301109,공주시,반포면,생활편의,음식점,한식,1,14
다담,127.242942976572,36.3601306301109,공주시,반포면,생활편의,음식점,한식,2,7
다락방,127.136368119108,36.4721450179022,공주시,신관동,생활편의,음식점,한식,1,3
다래모텔,127.121758397014,36.4622571717974,공주시,웅진동,여행/레저,숙박,모텔/여관,1,3
