목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
장고항그린낚시공원 그린좌대,126.56031208960064,37.03015816941522,당진시,석문면,여행/레저,레저/스포츠,낚시,31
장고항노적봉선착장,126.56016470650188,37.036299289732334,당진시,석문면,교통편의,교통시설,항구,297
장고항등대,126.561109062068,37.0367436883336,당진시,석문면,여행/레저,관광명소,등대,5
장고항만나펜션,126.561497986415,37.0286890620949,당진시,석문면,여행/레저,숙박,펜션,3
장고항바다낚시,126.559414827186,37.0302166523343,당진시,석문면,여행/레저,레저/스포츠,낚시,3
장고항오션뷰,126.557970499606,37.0317164715806,당진시,석문면,여행/레저,숙박,펜션,3
장고항초입선착장,126.57919086801,37.0253562119364,당진시,석문면,교통편의,교통시설,항구,7
장고항카페,126.573663604089,37.0234675092824,당진시,석문면,생활편의,카페,카페기타,3
장고항펜션,126.5562751839904,37.03247057770861,당진시,석문면,여행/레저,숙박,펜션,50
장금이네,126.691375782043,36.96219744537,당진시,송산면,생활편의,음식점,한식,108
장모님기사식당,126.6841703,36.9760629,당진시,송산면,생활편의,음식점,한식,3
장모님밥상,126.823586805779,36.88690129705,당진시,신평면,생활편의,음식점,한식,12
장미약국,126.781728965618,36.9411726011923,당진시,송악읍,의료편의,기타의료시설,약국,3
장수골,126.65587063899568,36.905552133982965,당진시,당진3동,생활편의,음식점,한식,15
장수꽃게장전문점,126.64246616428176,36.89840560624919,당진시,당진3동,생활편의,음식점,전문음식점,3
장수옥설렁탕,126.68482245945933,36.9015202518425,당진시,당진3동,생활편의,음식점,한식,72
장수장어,126.77516515834276,36.80727863416578,당진시,합덕읍,생활편의,음식점,전문음식점,9
장수촌,126.644047068382,36.9203408766571,당진시,송산면,생활편의,음식점,한식,6
장수한우곱창,126.6345411588075,36.886387555639295,당진시,당진2동,생활편의,음식점,전문음식점,44
장승고을,126.710485755874,36.8966217555763,당진시,송악읍,생활편의,음식점,한식,3
장춘닭개장,126.64969960191765,36.90654617733547,당진시,당진3동,생활편의,음식점,한식,426
장한기술,126.774229461466,36.9610313873286,당진시,송악읍,기업/단체,업종별기업,철강 금속,19
장항1리마을회관,126.5947065820011,36.95983056029071,당진시,고대면,기업/단체,사회시설,회관,3
장항2리마을회관,126.575108586682,36.9468652181003,당진시,고대면,기업/단체,사회시설,회관,14
장헌산업,126.575524871816,36.9863884527629,당진시,고대면,기업/단체,업종별기업,건설업,5
재호수산회센타,126.63173993979116,36.89067066531031,당진시,당진1동,생활편의,음식점,전문음식점,24
잭아저씨족발&보쌈/당진점,126.633187130939,36.897621203753,당진시,당진1동,생활편의,음식점,전문음식점,3
저스트슬립호텔/당진터미널점,126.64697648828736,36.90151592842402,당진시,당진1동,여행/레저,숙박,호텔,98
전대가감자탕,126.772175449642,36.8078267426209,당진시,합덕읍,생활편의,음식점,한식,3
전라도식당,126.729233330661,36.9803622402089,당진시,송악읍,생활편의,음식점,한식,3
전망대민박,126.74337091221,36.984528509059,당진시,송악읍,여행/레저,숙박,민박,21
전망대종합어시장,126.82553105375224,36.88937324672685,당진시,신평면,쇼핑,시장,농수축산물시장,97
전주밥상,126.679598943843,36.975612502724,당진시,송산면,생활편의,음식점,한식,6
전주식당,126.637381215015,36.895760330018,당진시,당진1동,생활편의,음식점,한식,3
전주콩뿌리콩나물국밥,126.693014491763,36.9658081507507,당진시,송산면,생활편의,음식점,한식,9
전주콩뿌리콩나물국밥/당진점,126.630881742211,36.902231772191,당진시,당진1동,생활편의,음식점,한식,6
정가네,126.63056266592702,36.90146877388912,당진시,당진1동,생활편의,음식점,한식,9
정곡감리교회,126.718873482695,36.942922039789,당진시,송악읍,생활편의,종교,교회시설,7
정곡교회,126.720095591719,36.9433108909718,당진시,송악읍,생활편의,종교,교회시설,5
정관장/당진터미널점,126.647102513697,36.9015652734212,당진시,당진1동,쇼핑,음식료,건강식품,6
정담명가남원추어탕,126.683154821417,36.9028153335292,당진시,당진3동,생활편의,음식점,전문음식점,13
정대냉면,126.70207478228082,36.90172437883423,당진시,송악읍,생활편의,음식점,한식,82
정돈가/당진점,126.6304118642916,36.90054041073202,당진시,당진1동,생활편의,음식점,한식,6
정든닭발/당진점,126.6368773399364,36.88687096748373,당진시,당진2동,생활편의,음식점,전문음식점,13
정미주민다목적회관,126.5684331,36.8873167,당진시,정미면,기업/단체,사회시설,사회복지시설,5
