is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
1,오문창순대국밥,127.42660293234012,36.35922857943825,대전광역시 대덕구,1.0,1,Sunday
1,오복미역/서산점,126.47305147381162,36.77009284159143,충청남도 서산시,1.0,2,Sunday
1,오송호수공원,127.323198571632,36.6312908315908,충청북도 청주시,1.0,2,Saturday
1,오양손칼국수,126.51817691077,33.4969599349545,제주특별자치도 제주시,1.0,1,Sunday
1,오정농수산물도매시장,127.405863775605,36.357476851690535,대전광역시 대덕구,2.0,1,Sunday
1,오케이한방병원,127.255844511845,36.4939396001487,세종특별자치시,1.0,0,Sunday
1,옥계동성당,127.451716623223,36.3027938860445,대전광역시 중구,1.0,1,Saturday
1,옥산저수지,126.72871230799144,36.19678522021271,옥산면,2.0,0,Sunday
1,온빛자연휴양림,127.25153584425472,36.20666662958455,충청남도 논산시,3.0,0,Sunday
1,온양온천랜드,127.015768587978,36.7811926845319,충청남도 아산시,2.0,1,Sunday
1,온양온천시장,127.00423240627482,36.783292352324985,충청남도 아산시,1.0,0,Sunday
1,온유네닭매운탕,127.398567118222,36.3493548013082,대전광역시 서구,1.0,1,Saturday
1,온해교회,126.750154001037,36.2987181685085,내산면,1.0,0,Saturday
1,올리브영/대전관저점,127.34017640262074,36.29878172657736,대전광역시 서구,1.0,0,Sunday
1,올리브영/세종소담점,127.29915429652262,36.48432446280872,세종특별자치시,1.0,0,Saturday
1,올리브영/아산탕정점,127.08591862519452,36.78740923089709,충청남도 아산시,1.0,0,Sunday
1,올리브영/청주율량점,127.49589741401084,36.67233639309172,충청북도 청주시,1.0,0,Saturday
1,올리브영/충남부여점,126.910251015061,36.2812488206219,부여읍,7.0,0,Sunday
1,왕건조개타운,126.515692727997,36.3077426442796,충청남도 보령시,1.0,1,Sunday
1,왕곰탕,126.91191752361206,36.28241536371704,부여읍,18.0,0,Saturday
1,왕궁리유적,127.054935250458,35.973845718866,전라북도 익산시,1.0,1,Saturday
1,외길한우,126.749402988467,37.5076826413121,경기도 부천시,1.0,0,Sunday
1,외산수리바위캠핑정원,126.695844749596,36.29356179301356,외산면,2.0,1,Saturday
1,용궁잔치,127.07732105441706,37.25307207146059,경기도 수원시,1.0,0,Sunday
1,용두산공영주차장,129.033050129018,35.1024018585053,부산광역시 중구,1.0,1,Sunday
1,용두해수욕장,126.548032395242,36.2634950676902,충청남도 보령시,2.0,1,Saturday
1,우격,127.105611766621,36.8101644907408,충청남도 천안시,1.0,0,Saturday
1,우렁이박사,126.8028232527462,36.87993128030061,충청남도 당진시,1.0,0,Sunday
1,우리마트/내포점,126.675513776418,36.6482682802991,충청남도 홍성군,1.0,1,Sunday
1,우리할매떡볶이/부여점,126.91996027311984,36.28369192350354,부여읍,4.0,0,Saturday
1,우연플로라호텔,126.512546444024,36.3130684303922,충청남도 보령시,1.0,1,Sunday
1,우연하게도,127.045259674809,35.734768275633,전라북도 김제시,1.0,1,Saturday
1,우즈베이커리/공주점,127.09367625371895,36.45883537641215,충청남도 공주시,1.0,1,Saturday
1,우츠,127.37221197314452,36.35270565730982,대전광역시 서구,1.0,0,Saturday
1,운여해변,126.355325069017,36.4319476059795,충청남도 태안군,1.0,2,Saturday
1,웅이네한옥펜션,126.46162619524,35.0932250218467,전라남도 함평군,1.0,1,Saturday
1,원산도,126.423560844165,36.3710213186652,충청남도 보령시,1.0,0,Saturday
1,원조능수할머니호두과자,127.16494891763,36.8263800323277,충청남도 천안시,1.0,0,Sunday
1,원조진안흑돼지,127.17238469075184,35.83172315635612,전라북도 전주시,2.0,2,Saturday
1,원조파주골순두부,127.278849231803,38.0277674632853,경기도 포천시,1.0,1,Saturday
1,원칼국수,126.75837923297227,36.21508151807394,홍산면,1.0,1,Saturday
1,원할머니보쌈족발/충남부여점,126.91125090487807,36.28374854147996,부여읍,4.0,0,Sunday
1,원현정돼지생곱창갈비/본점,126.975878902518,35.95799046014,전라북도 익산시,1.0,1,Sunday
1,월광박속낙지탕,127.377316566135,36.3591546718157,대전광역시 서구,1.0,1,Sunday
1,월함지한옥,126.923999707039,36.291275533116,부여읍,3.0,1,Saturday
1,웨스턴라이프호텔,126.97598541619352,35.9503452570003,전라북도 익산시,1.0,0,Saturday
1,유구핑크뮬리정원,126.956284522556,36.5499657515325,충청남도 공주시,2.0,1,Sunday
1,유사장직화구이,126.909528826103,36.2848872910528,부여읍,1.0,1,Saturday
1,유성골프사우나,126.94120172640984,37.19699428315665,경기도 화성시,1.0,0,Saturday
1,유성온천불가마사우나,127.345047029791,36.35661087297538,대전광역시 유성구,1.0,0,Sunday
1,유진짬뽕앤돈까스,127.102244162465,36.1296438409055,충청남도 논산시,1.0,0,Saturday
1,육군부사관학교,127.06592087151984,36.06217883801639,전라북도 익산시,1.0,0,Saturday
1,육군훈련소,127.09935375183731,36.1156882570315,충청남도 논산시,1.0,2,Saturday
1,윤가네바지락칼국수/부여점,126.92363074620351,36.28235424862055,부여읍,2.0,1,Sunday
