목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
서천한국요양병원,126.70494364311924,36.056402527225885,서천군,마서면,의료편의,의료시설,요양병원,13
서천항,126.66336282752258,36.007462735128925,서천군,장항읍,교통편의,교통시설,항구,10
서천해물칼국수,126.684328344049,36.0762986912459,서천군,서천읍,생활편의,음식점,한식,51
서천해양글램핑,126.502343971115,36.1448177145266,서천군,서면,여행/레저,레저/스포츠,캠프장,31
서천홍원항자연산전어꽃게축제,126.500344053836,36.15684411224,서천군,서면,여행/레저,관광명소,축제,542
서천휴게소/목포방향 [서해안선],126.626471943947,36.1295423275621,서천군,비인면,교통편의,교통시설,고속도로휴게소,3
서천휴게소/서울방향 [서해안선],126.627832914643,36.131958726439,서천군,비인면,교통편의,교통시설,고속도로휴게소,11
서천휴리조트펜션,126.66762227948,36.02299711622197,서천군,장항읍,여행/레저,숙박,펜션,78
서해바다낚시,126.500232959429,36.1559830986152,서천군,서면,쇼핑,취미/오락,스포츠·레저용품,3
서해병원,126.68760576443148,36.084519996073645,서천군,서천읍,의료편의,의료시설,일반병원,13
서해안식당,126.6971984303156,36.01214453899958,서천군,장항읍,생활편의,음식점,한식,40
서해횟집,126.72594679304927,36.00063385452668,서천군,장항읍,생활편의,음식점,전문음식점,3
선도리갯벌글램핑장,126.5831660736098,36.132357188585104,서천군,비인면,여행/레저,레저/스포츠,캠프장,6
선도리갯벌체험마을,126.58280913250036,36.13281950181722,서천군,비인면,여행/레저,관광명소,체험학습,499
선도리웰빙해물칼국수,126.59153955553222,36.12881840283414,서천군,비인면,생활편의,음식점,한식,77
선동보건진료소,126.74357285144984,36.10487909141313,서천군,시초면,의료편의,의료시설,보건소/지소,3
선명모텔,126.696910558843,36.0764654059261,서천군,서천읍,여행/레저,숙박,모텔/여관,6
선셋펜션,126.662747316767,36.0277207655639,서천군,장항읍,여행/레저,숙박,펜션,14
선진뷰티사이언스/장항공장,126.679245772385,36.0377197164755,서천군,장항읍,기업/단체,산업시설,공장,111
성경전래지기념관,126.5004553560748,36.13143034021223,서천군,서면,생활편의,문화생활시설,박물관/기념관,6
성북낚시슈퍼,126.592502612738,36.1455958762966,서천군,비인면,쇼핑,슈퍼/마트,슈퍼/마트 기타,3
성일복지원,126.667052531815,36.0225269340753,서천군,장항읍,기업/단체,사회시설,사회복지시설,46
소곡스테이,126.73604729890997,36.01071513728857,서천군,마서면,여행/레저,숙박,모텔/여관,14
소나무한의원,126.693633578751,36.013528097152,서천군,장항읍,의료편의,의료시설,한의원,4
소문난칼국수,126.514426169704,36.1523724727294,서천군,서면,생활편의,음식점,음식점기타,22
소문난해물칼국수,126.73648884726072,36.0186927391962,서천군,마서면,생활편의,음식점,한식,75
솔마루펜션,126.520731114481,36.1586495685623,서천군,서면,여행/레저,숙박,펜션,3
솔바람캠핑장,126.66505269683948,36.02408230232429,서천군,장항읍,여행/레저,레저/스포츠,캠프장,89
솔밭조개포차,126.667246945449,36.02422118702,서천군,장항읍,생활편의,술집,포장마차/실내포장마차,9
솔토락펜션,126.660441466164,36.0899914517014,서천군,종천면,여행/레저,숙박,펜션,12
송내교회,126.721992066904,36.0268322918102,서천군,마서면,생활편의,종교,교회시설,3
송림 바지락 칼국수,126.66697150449768,36.02388763741227,서천군,장항읍,생활편의,음식점,한식,17
송학사,126.599029789171,36.148206724646,서천군,비인면,생활편의,종교,절,3
수라원,126.727297349569,36.0023073282592,서천군,장항읍,생활편의,음식점,음식점기타,127
스테리움/서천,126.71476056604074,36.03739503809072,서천군,마서면,여행/레저,레저/스포츠,캠프장,8
